"ID"	"ETA"	"AGE"	"GENDER"	"STUDY"	"STUDYAGE"	"TRUEETA"	"STUDYETA"	"ZETA"	"W"	"Z1"	"Z2"	"Z3"	"Z4"	"BIN_1"	"BIN_2"	"BIN_3"	"BIN_4"	"BIN_5"	"BIN_6"	"BIN_7"	"BIN_8"	"BIN_9"	"BIN_10"	"BIN_11"	"BIN_12"
100001	1.089	3	1	-1	-3	0.9906850156	-0.990685016	0.1306850156	0.2151769991	9.0227102937	18.969523824	16.485131854	15.634013896	1	0	1	0	0	1	0	1	0	1	0	1
100002	-0.471	1	-1	-1	-1	-0.795386417	0.7953864173	-0.695386417	1.607775939	14.726779928	10.611633493	11.427289774	12.145534182	1	0	0	0	0	0	0	1	0	0	0	0
100003	1.867	1	-1	-1	-1	1.8035664199	-1.80356642	1.9035664199	0.8556633175	8.5860824424	12.308740166	11.541992977	15.144940006	1	0	0	1	1	1	1	1	1	1	1	1
100004	-0.135	2	-1	-1	-2	-0.184109674	0.184109674	-0.564109674	0.0930827167	10.820538156	15.673288057	10.093669906	13.241452427	1	0	0	0	0	0	0	0	0	0	1	0
100005	-1.631	-1	-1	-1	1	-1.516489549	1.5164895488	-0.456489549	-0.821322003	6.2571567364	7.7970601672	9.8536734589	4.8419820076	0	0	0	0	0	0	0	0	0	0	0	0
100006	-1.471	0	1	-1	0	-0.341347144	0.3413471445	0.2386528555	-0.982606136	13.575983366	14.751835945	10.83053723	10.34618736	0	0	0	0	0	0	0	0	0	0	0	0
100007	2.702	4	-1	-1	-4	1.9129597134	-1.912959713	0.5729597134	1.2299627908	11.287665906	16.43481523	16.36637756	19.463759264	1	1	0	1	1	1	1	1	1	1	1	1
100008	-1.638	-1	-1	-1	1	-1.45491285	1.4549128496	-0.39491285	0.6521407176	4.1279624337	5.6064774296	9.3288899809	12.101761223	0	0	0	0	0	0	0	0	0	0	0	0
100009	1.351	1	1	-1	-1	0.8813341153	-0.881334115	0.9813341153	-1.114271493	10.023975709	10.135173291	12.347621622	13.88451896	1	0	1	1	0	1	1	1	0	1	0	1
100010	1.401	0	-1	-1	0	1.1292465797	-1.12924658	1.7092465797	0.3762033418	11.050783418	17.003772112	11.429523409	13.260837767	0	1	0	1	1	1	0	1	1	1	0	1
